Baker,Signature,Technical,Showstopper,episode_number,episode_theme,season
Antony,Turmeric and Caraway Goosnargh Cakes,12th,"""Kilimanjaro Selfie""",1,_Biscuits,9
Briony,Apple Cider Empire Biscuits,2nd,"""Bristol Biscuit Selfie""",1,_Biscuits,9
Dan,Lemon and Strawberry Shrewsburys,4th,"""New Dad in Palm Springs""",1,_Biscuits,9
Imelda,Cherry and White Chocolate Oatmeal Biscuits,11th,"""Seaside Selfie""",1,_Biscuits,9
Jon,Aberffraw 'Creams',5th,"""A Sailing Selfie by the Sea""",1,_Biscuits,9
Karen,Yorkshire Perkins,6th,"Rosewater and Cardamom ""Holiday Selfie""",1,_Biscuits,9
Kim-Joy,Orange Blossom York Biscuits,10th,"""Me at Miyajima Shrine""",1,_Biscuits,9
Luke,Yorkshire Gingernuts,8th,"""What Happens In Vegas...!""",1,_Biscuits,9
Manon,Hazelnut Cornish Shortbread,3rd,Matcha and White Chocolate Ganache Japanese Selfie,1,_Biscuits,9
Rahul,Fennel and Coconut Pitcaithly Bannock,7th,"""First Spring in the UK""",1,_Biscuits,9
Ruby,Masala Chai Devon Flats,1st,"""Gingerbread Marathon Selfie""",1,_Biscuits,9
Terry,Lake District Ginger Shortbread,9th,"""Brandy Snap Selfie""",1,_Biscuits,9
Antony,Cardamom and Coconut Burfi Traybake,9th,"Pistachio, Saffron and Rose Cake",2,_Cakes,9
Briony,Turron and Orange Traybake,5th,Chocolate Fudge and Salted Caramel Creation,2,_Cakes,9
Dan,Black Forest Slice,3rd,Dark Chocolate and Raspberry Birthday Cake,2,_Cakes,9
Jon,Lemon Meringue Traybake,1st,Hawaiian Shirt Pina Colada Cake,2,_Cakes,9
Karen,Almond and Marzipan Traybake with Rhubarb Jam,11th,Strawberry Fayre Chocolate Cake,2,_Cakes,9
Kim-Joy,Pandan Chiffon Cake with Palm Sugar Cream,4th,Yuzu and Raspberry Genoise Cat Cake,2,_Cakes,9
