Baker,Signature,Technical,Showstopper,episode_number,episode_theme,season
Nadiya,Rose Pistachio and Mocha Hazelnut Horns,1st,Bubble Gum and Peppermint Cream Religieuse à l'ancienne,8,_P.C3.A2tisserie,6
Paul,Café Tipple and Banana Crunch-away Horns,5th,Religieuse à l'ancienne,8,_P.C3.A2tisserie,6
Tamal,Lime-and-Mascarpone and Malt Cream Horns,4th,Passionfruit-and-Mango and Pistachio and Raspberry Religieuse à l'ancienne,8,_P.C3.A2tisserie,6
Flora,Passion Fruit and Chocolate Tart,1st,Cocoa Carousel,9,_Chocolate_.28Semi-Final.29,6
Ian,Chocolate and Bay Tart,3rd,Chocolate Well,9,_Chocolate_.28Semi-Final.29,6
Nadiya,Peanut Salted Caramel and Chocolate Tart,4th,Peacock in Nan's Door,9,_Chocolate_.28Semi-Final.29,6
Tamal,Chocolate New York Pie,2nd,Chocolate Bell Tower,9,_Chocolate_.28Semi-Final.29,6
Ian,Elderflower and Lemon and Spiced Buns,2nd,Colossal Curvy Carrot Cake,10,_Final,6
Nadiya,Cardamom and Almond Buns and Nutmeg and Sour Cherry Fingers,1st,My Big Fat British Wedding Cake,10,_Final,6
Tamal,Cinnamon-and-Apple and Toffee-and-Marmalade Iced Buns,3rd,Sticky Toffee Pudding Cake,10,_Final,6
