Baker,Signature,Technical,Showstopper,episode_number,episode_theme,season
Brendan,Middle Eastern Taboon BreadIndian Roti,4th,Chocolate and Vanilla BagelsCumin and Gruyere Bagels,1,_Cakes,3
Cathryn,"Spiced Mango NaanLime, Coriander and Chilli Tortilla",8th,"Cranberry and Orange BagelsChipotle, Chili, and Smoked Cheddar Bagels",1,_Cakes,3
Danny,Lime Coriander and Coconut TortillasZaatar Naan with Dukkah,3rd,UNKNOWN,1,_Cakes,3
James,"Tomato, Garlic, and Parmesan FlatbreadsTattie Scones",2nd,"Orange, Mint and Chocolate Bagel'Millers' Sourdough Bagel",1,_Cakes,3
John,"Coriander and Chilli RotisGarlic, Pomegranate and Potato Pitas",1st,"Fig, Walnut and Gruyere BagelsBlueberry and White Chocolate Bagels",1,_Cakes,3
Manisha,Indian Flatbreads with cumin and garlicItalian Flatbreads with sun-dried tomato and cheese,6th,UNKNOWN,1,_Cakes,3
Peter,Fennel and Nigella Seed NaanBannock Bread,11th,Rosemary and Sea Salt BagelsApple and Cinnamon Bagels,1,_Cakes,3
Ryan,Shanghai Spring Onion FlatbreadsGarlic and Coriander Naan,5th,Cinnamon and Date BagelsTarragon and Rosemary Bagels,1,_Cakes,3
Sarah-Jane,Coconut RotiOatcakes,10th,UNKNOWN,1,_Cakes,3
Stuart,Bombay BreadChorizo and Spring Onion Naan,9th,Cinnamon and Cranberry BagelsTomato and Thyme Bagels,1,_Cakes,3
Victoria,Coriander and Lemon NaanGarlic and Parsnip Chapatis,7th,Saffron and Golden Raisin BagelsPorcini Bagels,1,_Cakes,3
Brendan,Apple and Ginger Tarte Tatin,9th,"Blackberry, Nectarine and Dragon Fruit Tart",2,_Bread,3
Cathryn,"Plum, Cherry and Five Spice Tarte Tatin",3rd,"Raspberry, Pistachio and Lemon Tart",2,_Bread,3
Danny,Savoury Pear and Roquefort Tarte Tatin,2nd,"Pineapple, Coconut and Frangipane Tart",2,_Bread,3
James,Apple and Lavender Tarte Tatin,1st,"Rose, Lychee and Raspberry Fruit Tart",2,_Bread,3
John,Apple and Vanilla Tarte Tatin with Walnut Praline,6th,"Berries, Grapes, Pomegranate, and Dragon Fruit Tart",2,_Bread,3
Manisha,"Cinnamon, Apple and Pear Tarte Tatin",10th,Rum and Tropical Fruit Tart,2,_Bread,3
Ryan,Spiced Pear Tarte Tatin,5th,UNKNOWN,2,_Bread,3
Sarah-Jane,Caramelised Banana Tarte Tatin,8th,French Apple Tart with Blackberry and Cassis Jam,2,_Bread,3
Stuart,Pear and Almond Tarte Tatin,7th,Raspberry Triple Chocolate Layered Tart,2,_Bread,3
Victoria,"Fig, Walnut and Pink Peppercorn Tarte Tatin",4th,Tropical Fruit Tart with Black Pepper Crust,2,_Bread,3
Brendan,Clementine and Chestnut Torte,1st,"Pear, Chocolate and Hazelnut Dacquoise",3,_Tarts,3
Cathryn,"White Chocolate, Macadamia and Coffee Torte",3rd,"Gooseberry, Almond and Honey Meringue",3,_Tarts,3
Danny,"Blackberry, White Chocolate, Lemon and Elderflower Torte",2nd,"'Monte Bianco' Chestnut, Chocolate and Coffee Dacquoise",3,_Tarts,3
James,"Hazelnut, Chocolate and Passionfruit Torte",5th,"Fig, Chestnut, Cherry and Chocolate Layered Meringue",3,_Tarts,3
John,'Torte Noir' Black Forest Torte with Boozy Cream,6th,Elderflower and Bramble Berry Pavlova,3,_Tarts,3
Manisha,"Almond, Chocolate and Cherry Torte",9th,Tiramisu Layered Meringue Dessert,3,_Tarts,3
Ryan,Green Tea Opera Torte,7th,"Strawberry, Rose and Pistachio Meringue",3,_Tarts,3
Sarah-Jane,Chocolate and Almond Truffle Torte,4th,Hazelnut Tiramisu Layered Meringue,3,_Tarts,3
Stuart,Black Forest Torte,8th,Choca Blocka Mocha Meringue,3,_Tarts,3
Brendan,Salmon Coulibiac in a Scandinavian Pastry,3rd,All American Chiffon Pie,4,_Desserts,3
Cathryn,Full English Wellington,1st,Chocolate and Peanut Butter Pumpkin Pie,4,_Desserts,3
Danny,"Chickpea, Spinach & Mushroom Wellington",7th,Trick or Treat Pumpkin Pie,4,_Desserts,3
James,Four Pig Wellington,6th,Sweet Potato Pie,4,_Desserts,3
John,Venison and Haggis Wellington,2nd,Star Spangled Pecan Pie,4,_Desserts,3
Manisha,Lamb Wellington with Rosemary and Mint,5th,Banana Scotch Pie,4,_Desserts,3
Ryan,Curry Spiced Seabass Wellington,8th,Key Lime Pie,4,_Desserts,3
