Baker,Signature,Technical,Showstopper,episode_number,episode_theme,season
Sarah-Jane,Beef Wellington with Parma Ham and Gorgonzola Cheese,4th,Chocolate and Banana Cream Pie,4,_Desserts,3
Brendan,"Rhubarb, Strawberry and Ginger PuddingsSticky Toffee Puddings",1st,"Spinach, Cheese and Walnut Strudel",5,_Pies,3
Cathryn,Chocolate Walnut Whip PuddingsElderflower Sponges,3rd,Roasted Vegetable Couscous and Sheep Cheese Strudel,5,_Pies,3
Danny,Banoffee Puddings with Walnut Butterscotch SauceJubilee Chocolate Fondants,2nd,"Leek, Potato, Pistachio and Gruyère Strudel",5,_Pies,3
James,Banana and Clove PuddingsClootie Dumplings,7th,"Strawberry, Rhubarb and Ginger Strudel",5,_Pies,3
John,Spicy Toffee PuddingsRaspberry and White Chocolate Puddings,5th,Did not complete due to injury [1],5,_Pies,3
Ryan,Chocolate FondantsSticky Ginger and Date Puddings,6th,"Apple, Sour Cherry, Raisin and Mixed Nuts Strudel",5,_Pies,3
Sarah-Jane,Sticky Toffee PuddingsGranny's Saucy Lemon Puddings,4th,Sweet Strudel with Sour Cherries,5,_Pies,3
Brendan,Chelsea Bunskis,4th,Black Forest Christmas Stollen,6,_Puddings,3
Cathryn,Lady Arundel's Manchet Buns,5th,Bonfire Night Tear 'N' Share Brioche,6,_Puddings,3
Danny,Bakewell Chelsea Buns,2nd,European Christmas Wreath,6,_Puddings,3
James,Easter Chelsea Buns,1st,Whisky Kugelhopf-Brioche Baba,6,_Puddings,3
John,Cherry and Almond Saffron Buns,3rd,Marzipan Stollen,6,_Puddings,3
Ryan,Lardy Cakes,6th,Char Siu Bao,6,_Puddings,3
Sarah-Jane,"Orange, Nutmeg and Saffron Buns",7th,Sour Cherry and Dark Chocolate Christmas Plait,6,_Puddings,3
Brendan,Multi-Seed Savoury Crackers,2nd,Fantasy Gingerbread Bird House,7,_Sweet_dough,3
Cathryn,Cheese and Pickle Crackers,5th,Gingerbread Buckingham Palace,7,_Sweet_dough,3
Danny,Spiced Almond Drinks Crackers,4th,Gingerbread Big Ben,7,_Sweet_dough,3
James,"Smoky Cayenne, Cumin and Chilli Crackers",1st,Gingerbread Barn,7,_Sweet_dough,3
John,Asian Spice Crackers,3rd,Gingerbread Roman Coliseum,7,_Sweet_dough,3
Brendan,Coffee Meringue and Hazelnut CreamsApricot and Pistachio FriandsLime Curd Choux Pastry Cygnets,3rd,Gateau St. Honoré,8,_Biscuits_.28Quarterfinal.29,3
Danny,Blackberry and Peppermint MacaroonsMiniature Raspberry and Basil FinanciersOrange and White Chocolate Langues de Chat,4th,Rosewater and Lychee St. Honoré,8,_Biscuits_.28Quarterfinal.29,3
James,"Lemon and Rhubarb TartletsChocolate Indulgence Petits FoursChilli, Lime and Raspberry Macaroons",1st,"Coffee, Caramel and Hazelnut Paris–Brest",8,_Biscuits_.28Quarterfinal.29,3
John,Lemon MadeleinesWhite Chocolate and Raspberry TartletsDark Chocolate and Cherry Macaroons,2nd,Gateau St. Honoré a la Passion,8,_Biscuits_.28Quarterfinal.29,3
Brendan,Potato and Pepper Pithivier,2nd,Family Reunion Chiffon Cake,9,_P.C3.A2tisserie_.28Semi-Final.29,3
James,Spanish Pithivier with Chorizo and Red Pepper,1st,United Chiffon Cakes,9,_P.C3.A2tisserie_.28Semi-Final.29,3
John,Italian Sausage and Roasted Vegetable Pithivier,2nd,Heaven and Hell Chiffon Cake,9,_P.C3.A2tisserie_.28Semi-Final.29,3
